num_exp,out of lives,illegal move,lost one life,discard,lr_pi,hidden_layers_pi,activation_pi,renormalize_adv,entropy_coeff,lr_vf,hidden_layers_vf,activation_vf,train_vf_iters,gammas,batch_sizes,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
60,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
61,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
62,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
63,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
64,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
65,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
66,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
67,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
68,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
69,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
70,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
71,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
