episode:    127	 return:    1988.74	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   72	 ill moves:   12
episode:    128	 return:    1879.72	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   65	 ill moves:    2
episode:    129	 return:    2300.26	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    1
episode:    130	 return:    2301.20	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   61	 ill moves:    0
episode:    131	 return:    2298.38	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    3
episode:    132	 return:    2298.28	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   64	 ill moves:    3
episode:    133	 return:    2176.00	 score:    0	 fireworks:   22	 lives left:    0	 ep_len:   64	 ill moves:    3
episode:    134	 return:    2188.10	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   74	 ill moves:   13
episode:    135	 return:    1688.44	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   75	 ill moves:   12
episode:    136	 return:    1891.08	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   72	 ill moves:    9
episode:    137	 return:    1576.54	 score:    0	 fireworks:   16	 lives left:    0	 ep_len:   68	 ill moves:    8
episode:    138	 return:    1999.12	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   64	 ill moves:    2
episode:    139	 return:    2391.06	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   69	 ill moves:   10
episode:    140	 return:    1797.94	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   68	 ill moves:    3
episode:    141	 return:    2297.08	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   65	 ill moves:    4
episode:    142	 return:    2199.76	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   64	 ill moves:    1
episode:    143	 return:    1798.30	 score:   18	 fireworks:   18	 lives left:    2	 ep_len:   68	 ill moves:    2
episode:    144	 return:    1998.90	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   65	 ill moves:    2
episode:    145	 return:    1595.24	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   73	 ill moves:    5
episode:    146	 return:    2397.28	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   66	 ill moves:    4
episode:    147	 return:    1979.78	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   61	 ill moves:    1
episode:    148	 return:    2478.70	 score:   25	 fireworks:   25	 lives left:    1	 ep_len:   72	 ill moves:   22
episode:    149	 return:    2098.74	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   64	 ill moves:    2
episode:    150	 return:    2295.54	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   65	 ill moves:    5
episode:    151	 return:    1599.00	 score:   16	 fireworks:   16	 lives left:    2	 ep_len:   71	 ill moves:    2
episode:    152	 return:    1888.36	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   75	 ill moves:   12
episode:    153	 return:    2098.88	 score:   21	 fireworks:   21	 lives left:    3	 ep_len:   66	 ill moves:    2
episode:    154	 return:    1879.28	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   67	 ill moves:    2
episode:    155	 return:    1896.36	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   68	 ill moves:    4
episode:    156	 return:    2078.70	 score:    0	 fireworks:   21	 lives left:    0	 ep_len:   60	 ill moves:    1
episode:    157	 return:    1880.22	 score:    0	 fireworks:   19	 lives left:    0	 ep_len:   62	 ill moves:    1
episode:    158	 return:    1996.22	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   67	 ill moves:    4
episode:    159	 return:    2398.80	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   63	 ill moves:    2
episode:    160	 return:    1781.40	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   62	 ill moves:    1
episode:    161	 return:    1799.52	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:    162	 return:    1782.60	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   61	 ill moves:    0
episode:    163	 return:    2295.94	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   64	 ill moves:    5
episode:    164	 return:    2098.80	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   65	 ill moves:    2
episode:    165	 return:    2190.26	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   72	 ill moves:   11
